Order ID,Order Date,Region,Category,Sub-Category,Quantity,Unit Price,Unit Cost,Sales,Cost,Profit
ORD00001,1/31/2025,North,Office Supplies,Paper,7,228.99,142.1,1602.93,994.7,608.23
ORD00002,12/30/2025,South,Office Supplies,Binders,7,300.03,217.52,2100.21,1522.64,577.57
ORD00003,5/10/2024,South,Office Supplies,Paper,7,70.31,53.26,492.17,372.82,119.35
ORD00004,7/18/2025,South,Office Supplies,Storage,2,76.57,60.3,153.14,120.6,32.54
ORD00005,2/4/2025,West,Furniture,Chairs,6,270.15,215.9,1620.9,1295.4,325.5
ORD00006,12/31/2024,West,Office Supplies,Paper,4,428.14,269.82,1712.56,1079.28,633.28
ORD00007,11/10/2024,West,Technology,Phones,6,303.34,209,1820.04,1254,566.04
ORD00008,5/2/2022,East,Furniture,Chairs,6,112.16,63.65,672.96,381.9,291.06
ORD00009,4/12/2023,North,Office Supplies,Storage,8,452.46,358.78,3619.68,2870.24,749.44
ORD00010,5/23/2025,East,Furniture,Bookcases,6,415.39,258.77,2492.34,1552.62,939.72
ORD00011,11/27/2022,East,Office Supplies,Storage,7,449.3,225.98,3145.1,1581.86,1563.24
ORD00012,3/29/2022,East,Furniture,Chairs,4,274.29,163.62,1097.16,654.48,442.68
ORD00013,10/28/2025,West,Furniture,Bookcases,1,174.09,98.79,174.09,98.79,75.3
ORD00014,1/28/2025,East,Furniture,Chairs,7,251.3,168.1,1759.1,1176.7,582.4
ORD00015,5/21/2024,North,Office Supplies,Binders,5,216.39,124.69,1081.95,623.45,458.5
ORD00016,5/11/2022,North,Office Supplies,Paper,6,28.58,17.16,171.48,102.96,68.52
ORD00017,8/25/2025,West,Furniture,Bookcases,4,346.47,179.13,1385.88,716.52,669.36
ORD00018,2/9/2024,West,Technology,Accessories,8,112.98,63.55,903.84,508.4,395.44
ORD00019,12/10/2022,East,Office Supplies,Binders,1,457.4,284.1,457.4,284.1,173.3
ORD00020,12/8/2025,West,Technology,Laptops,2,220.33,173.81,440.66,347.62,93.04
ORD00021,3/16/2024,South,Furniture,Bookcases,6,379.19,288.42,2275.14,1730.52,544.62
ORD00022,1/21/2023,South,Technology,Laptops,3,87.23,52.73,261.69,158.19,103.5
ORD00023,4/30/2025,North,Technology,Phones,4,210.66,118.74,842.64,474.96,367.68
ORD00024,8/13/2024,West,Office Supplies,Paper,4,84.57,46.67,338.28,186.68,151.6
ORD00025,10/4/2022,East,Technology,Laptops,4,23.12,12.32,92.48,49.28,43.2
ORD00026,3/30/2025,South,Office Supplies,Storage,8,453.33,357.54,3626.64,2860.32,766.32
ORD00027,4/5/2023,East,Furniture,Chairs,1,422.32,277.7,422.32,277.7,144.62
ORD00028,8/30/2025,West,Office Supplies,Paper,2,297.97,204.17,595.94,408.34,187.6
ORD00029,1/22/2022,North,Furniture,Tables,5,166.1,117.06,830.5,585.3,245.2
ORD00030,9/10/2022,East,Office Supplies,Storage,4,480.53,304.26,1922.12,1217.04,705.08
ORD00031,1/18/2024,South,Technology,Laptops,9,387.02,213,3483.18,1917,1566.18
ORD00032,5/6/2024,South,Technology,Accessories,2,449.27,288.68,898.54,577.36,321.18
ORD00033,4/20/2023,East,Furniture,Tables,6,55.6,42.67,333.6,256.02,77.58
ORD00034,12/18/2024,West,Furniture,Tables,3,240.23,191.01,720.69,573.03,147.66
ORD00035,5/26/2023,East,Technology,Accessories,2,193.9,115.48,387.8,230.96,156.84
ORD00036,12/1/2023,West,Furniture,Tables,9,293.19,180.23,2638.71,1622.07,1016.64
ORD00037,9/2/2024,West,Technology,Phones,4,106.79,70.73,427.16,282.92,144.24
ORD00038,7/9/2022,East,Technology,Accessories,8,234.13,156.74,1873.04,1253.92,619.12
ORD00039,8/15/2024,West,Furniture,Chairs,1,443.38,280.8,443.38,280.8,162.58
ORD00040,11/18/2023,North,Furniture,Bookcases,9,332.71,192.21,2994.39,1729.89,1264.5
